index,feature
0,mfcc_sma[8]|slope
1,mfcc_sma[8]|min
2,mfcc[12]|median
3,mfcc_sma[3]|skewness
4,mfcc_sma[11]|max
5,lspFreq[7]|skewness
6,lspFreq[6]|median
7,lspFreq_sma[6]|kurtosis
8,lspFreq_sma[1]|kurtosis
9,lspFreq[3]|max
10,lspFreq[3]|kurtosis
11,lspFreq[5]|kurtosis
12,lpc_13|median
13,mfcc[5]|min
14,lspFreq_sma[5]|skewness
15,lspFreq_sma[7]|skewness
16,magnitude_bin_2|energy
17,magnitude_bin_2|median
18,magnitude_bin_2|min
19,magnitude_bin_6|skewness
20,magnitude_bin_0|max
21,magnitude_bin_0|median
22,magnitude_bin_0|kurtosis
23,magnitude_bin_1|std
24,magnitude_bin_1|slope
25,magnitude_bin_1|energy
26,magnitude_bin_4|slope
27,magnitude_bin_3|energy
28,magnitude_bin_3|skewness
29,magnitude_bin_3|mean
30,magnitude_bin_8|skewness
31,magnitude_bin_5|min
32,tempogram_32_63|std
33,tempogram_32_63|skewness
34,tempogram_32_63|kurtosis
35,tempogram_32_63|median
36,tempogram_0_31|skewness
37,tempogram_0_31|std
38,tempogram_0_31|max
39,tempogram_64_95|min
40,tempogram_64_95|std
41,tempogram_224_255|max
42,tempogram_224_255|std
43,tempogram_160_191|slope
44,tempogram_160_191|skewness
45,tempogram_320_351|mean
46,tempogram_192_223|kurtosis
47,tempogram_192_223|slope
48,spec_contr_0|median
49,chroma_cqt_3|min
50,chroma_cqt_3|median
51,spec_contr_5|max
52,tonal_centroid_3|min
53,tonal_centroid_3|max
54,spec_contr_2|median
55,tonal_centroid_1|max
56,chroma_cqt_11|kurtosis
57,tonal_centroid_2|max
58,chroma_cqt_6|max
59,chroma_cqt_6|energy
60,chroma_cqt_5|median
61,chroma_s_1|median
62,chroma_cqt_4|energy
63,chroma_t_3|median
64,colorfulnesss|max
65,colorfulnesss|median
66,mean_saturation|max
67,color_energy|min
68,color_energy|median
69,r_com_x2|skewness
70,r_com_x2|min
71,mean_brightness|min
72,mean_brightness|kurtosis
73,dominant_color_2_R|std
74,g_com_x2|kurtosis
75,g_com_x2|std
76,color_activity|min
77,r_com_x1|max
78,dominant_color_1_R|skewness
79,color_weight|kurtosis
80,motion_continuity|std
81,motion_continuity|skewness
82,motion_continuity|min
83,motion_continuity|mean
84,motion_continuity|median
85,motion_continuity|slope
86,motion_continuity|energy
87,fast_motion|std
88,fast_motion|kurtosis
89,fast_motion|min
90,fast_motion|skewness
91,fast_motion|median
92,ac_global|std
93,ac_global|min
94,ac_global|mean
95,ac_global|energy
96,pcm_zcr|median
97,pcm_zcr|max
98,pcm_zcr|kurtosis
99,pcm_zcr|skewness
100,pcm_zcr|mean
101,pcm_zcr|std
102,mean_mag|min
103,mean_mag|std
104,pcm_zcr_sma|median
105,pcm_zcr_sma|slope
106,pcm_zcr_sma|min
107,pcm_zcr_sma|max
108,pcm_zcr_sma|mean
109,pcm_zcr_sma|energy
110,pcm_zcr_sma|std
111,oenv|slope
112,F0|max
113,F0|slope
114,F0|skewness
115,voiceProb_sma|kurtosis
116,voiceProb_sma|median
117,voiceProb_sma|skewness
118,voiceProb_sma|max
119,voiceProb_sma|mean
120,voiceProb|min
121,voiceProb|mean
122,F0env|energy
123,F0env|max
124,F0env|skewness
125,F0env|median
126,F0env|mean
127,F0env_sma|median
128,spectral_variation|median
129,spectral_variation|min
130,spectral_variation|kurtosis
131,spectral_decrease|median
132,spectral_decrease|mean
133,spectral_flux|energy
134,spectral_flux|median
135,spectral_flux|skewness
136,kurtosis|max
137,skewness|median
138,skewness|skewness
139,spec_bw_time|median
140,spec_bw_time|max
141,centroid|energy
142,spectral_rolloff|max
143,spectral_rolloff|energy
