index,feature
0,lspFreq_sma[7]|max
1,lspFreq_sma[7]|min
2,lspFreq_sma[3]|median
3,mfcc[12]|max
4,mfcc_sma[7]|median
5,lspFreq_sma[5]|max
6,lspFreq_sma[5]|slope
7,mfcc[8]|max
8,mfcc[6]|min
9,lspFreq_sma[2]|max
10,mfcc_sma[8]|min
11,lspFreq[6]|median
12,mfcc_sma[3]|skewness
13,lspFreq[3]|max
14,mfcc[9]|median
15,mfcc[11]|kurtosis
16,magnitude_bin_0|max
17,magnitude_bin_0|median
18,magnitude_bin_0|kurtosis
19,magnitude_bin_0|std
20,magnitude_bin_5|skewness
21,magnitude_bin_5|kurtosis
22,magnitude_bin_2|max
23,magnitude_bin_2|std
24,magnitude_bin_2|min
25,magnitude_bin_3|std
26,magnitude_bin_4|max
27,magnitude_bin_7|median
28,magnitude_bin_1|kurtosis
29,magnitude_bin_1|min
30,magnitude_bin_1|slope
31,magnitude_bin_8|max
32,tempogram_224_255|std
33,tempogram_224_255|max
34,tempogram_224_255|energy
35,tempogram_64_95|min
36,tempogram_64_95|max
37,tempogram_64_95|std
38,tempogram_0_31|max
39,tempogram_0_31|skewness
40,tempogram_0_31|mean
41,tempogram_0_31|energy
42,tempogram_32_63|kurtosis
43,tempogram_32_63|median
44,tempogram_288_319|std
45,tempogram_160_191|skewness
46,tempogram_160_191|slope
47,tempogram_192_223|kurtosis
48,spec_contr_0|median
49,spec_contr_0|max
50,spec_contr_0|std
51,spec_contr_6|skewness
52,spec_contr_6|median
53,chroma_cqt_5|max
54,chroma_cqt_3|median
55,tonal_centroid_3|median
56,spec_contr_5|max
57,chroma_t_1|skewness
58,chroma_t_5|median
59,chroma_t_11|median
60,chroma_cqt_4|energy
61,chroma_cqt_1|max
62,spec_contr_3|median
63,chroma_cqt_7|mean
64,color_energy|mean
65,color_energy|max
66,color_energy|energy
67,color_energy|min
68,colorfulnesss|energy
69,colorfulnesss|max
70,colorfulnesss|median
71,colorfulnesss|min
72,mean_saturation|mean
73,mean_saturation|max
74,mean_saturation|energy
75,mean_brightness|median
76,color_activity|max
77,color_activity|min
78,color_activity|mean
79,r_com_x2|min
80,motion_continuity|median
81,motion_continuity|skewness
82,motion_continuity|slope
83,motion_continuity|kurtosis
84,motion_continuity|std
85,fast_motion|max
86,fast_motion|skewness
87,fast_motion|kurtosis
88,fast_motion|mean
89,fast_motion|median
90,fast_motion|min
91,ac_global|mean
92,ac_global|slope
93,ac_global|std
94,ac_global|energy
95,pcm_zcr|median
96,pcm_zcr|kurtosis
97,pcm_zcr|max
98,pcm_zcr|mean
99,pcm_zcr_sma|median
100,pcm_zcr_sma|kurtosis
101,pcm_zcr_sma|skewness
102,pcm_zcr_sma|energy
103,pcm_zcr_sma|slope
104,oenv|median
105,oenv|mean
106,oenv|slope
107,mean_mag|std
108,mean_mag|energy
109,mean_mag|median
110,mean_mag|kurtosis
111,spectral_variation|min
112,spectral_variation|median
113,spectral_decrease|median
114,spectral_decrease|mean
115,kurtosis|skewness
116,spec_bw_time|median
117,spec_bw_time|max
118,spectral_flux|skewness
119,spectral_flux|max
120,spread|max
121,spread|kurtosis
122,spectral_rolloff|max
123,spectral_rolloff|kurtosis
124,cent_time|skewness
125,skewness|skewness
126,skewness|kurtosis
127,onset_frame|kurtosis
128,onset_frame|slope
129,onset_frame|std
130,onset_frame|energy
131,sub_ons_3|std
132,sub_ons_3|median
133,sub_ons_3|max
134,sub_ons_1|max
135,sub_ons_1|median
136,sub_ons_2|skewness
137,sub_ons_2|mean
138,sub_ons_2|max
139,sub_ons_0|mean
140,sub_ons_0|max
141,sub_ons_0|min
142,sub_ons_0|slope
